,Player,Pos,Club,Birth Place,Birth Date,Age_x,MP,Min,Gls,Team,Age_y,Starts,90s,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
10,Papu Gómez,"MF,FW",Sevilla,"Buenos Aires, Argentina",1988-02-15,34-278,2,107,0,Argentina,34.0,2,1.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
11,Alexis Mac Allister,MF,Brighton,"Santa Rosa, Argentina",1998-12-24,23-331,6,550,1,Argentina,23.0,6,6.1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.7,0.7,0.9,1.6,0.12,0.15,0.27,0.12,0.27
12,Emiliano Martínez,GK,Aston Villa,"Mar del Plata, Argentina",1992-09-02,30-079,7,690,0,Argentina,29.0,7,7.7,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lautaro Martínez,FW,Inter,"Bahía Blanca, Argentina",1997-08-22,25-090,6,241,0,Argentina,24.0,2,2.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,1.9,0.87,0.02,0.89,0.87,0.89
14,Lisandro Martínez,DF,Manchester Utd,"Gualeguay, Argentina",1998-01-18,24-306,5,303,0,Argentina,24.0,2,3.4,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,0.04,0.21,0.25,0.04,0.25
15,Lionel Messi,FW,Paris S-G,"Rosario, Argentina",1987-06-24,35-149,7,690,7,Argentina,34.0,7,7.7,3,3,4,5,1,0,0.91,0.39,1.3,0.39,0.78,6.6,2.7,2.5,5.2,0.94,0.35,1.3,0.38,0.74
16,Nahuel Molina,DF,Atlético Madrid,"Embalse, Argentina",1998-04-06,24-228,7,567,1,Argentina,24.0,6,6.3,1,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,0.5,0.5,0.3,0.8,0.07,0.05,0.12,0.07,0.12
17,Gonzalo Montiel,"DF,MF",Sevilla,"González Catán, Argentina",1997-01-01,25-323,4,118,0,Argentina,25.0,1,1.3,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.02,0.4,0.43,0.02,0.43
18,Nicolás Otamendi,DF,Benfica,"Buenos Aires, Argentina",1988-02-12,34-281,7,690,0,Argentina,34.0,7,7.7,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.2,0.2,0.0,0.02,0.03,0.0,0.03
19,Exequiel Palacios,"MF,DF",Leverkusen,"Famaillá, Argentina",1998-10-05,24-046,3,50,0,Argentina,23.0,0,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.12,0.12,0.24,0.12,0.24
20,Leandro Paredes,MF,Juventus,"San Justo, Argentina",1994-06-29,28-144,5,225,0,Argentina,27.0,2,2.5,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03
21,Germán Pezzella,DF,Betis,"Bahía Blanca, Argentina",1991-06-27,31-146,3,60,0,Argentina,30.0,0,0.7,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.24,0.0,0.24,0.24,0.24
22,Guido Rodríguez,MF,Betis,"Sáenz Peña, Argentina",1994-04-12,28-222,1,56,0,Argentina,28.0,1,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Cristian Romero,DF,Tottenham,"Córdoba, Argentina",1998-04-27,24-207,7,547,0,Argentina,24.0,6,6.1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Gerónimo Rulli,GK,Villarreal,"La Plata, Argentina",1992-05-20,30-184,0,0,0,Argentina,30.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Nicolás Tagliafico,DF,Lyon,"Buenos Aires, Argentina",1992-08-31,30-081,6,373,0,Argentina,29.0,3,4.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,0.26,0.05,0.31,0.26,0.31
26,Alphonse Areola,GK,West Ham,"Paris, France",1993-02-27,29-266,0,0,0,France,29.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Eduardo Camavinga,DF,Real Madrid,"Cabinda, Angola",2002-11-10,20-010,2,140,0,France,19.0,1,1.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.0,0.08
28,Kingsley Coman,"FW,MF",Bayern Munich,"Paris, France",1996-06-13,26-160,6,169,0,France,26.0,1,1.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.05,0.15,0.1,0.15
29,Ousmane Dembélé,FW,Barcelona,"Vernon, France",1997-05-15,25-189,7,433,0,France,25.0,6,4.8,2,0,0,0,1,0,0.0,0.42,0.42,0.0,0.42,0.5,0.5,1.6,2.1,0.1,0.34,0.44,0.1,0.44
30,Axel Disasi,DF,Monaco,"Gonesse, France",1998-03-11,24-254,3,92,0,France,24.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07
31,Youssouf Fofana,MF,Monaco,"Paris, France",1999-01-10,23-314,6,227,0,France,23.0,2,2.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.07,0.07,0.14,0.07,0.14
32,Olivier Giroud,FW,Milan,"Chambéry, France",1986-09-30,36-051,6,419,4,France,35.0,6,4.7,0,4,0,0,1,0,0.86,0.0,0.86,0.86,0.86,3.4,3.4,0.1,3.5,0.72,0.03,0.76,0.72,0.76
33,Antoine Griezmann,MF,Atlético Madrid,"Mâcon, France",1991-03-21,31-244,7,537,0,France,31.0,6,6.0,3,0,0,0,1,0,0.0,0.5,0.5,0.0,0.5,0.7,0.7,3.1,3.8,0.11,0.52,0.63,0.11,0.63
34,Mattéo Guendouzi,"FW,MF",Marseille,"Poissy, France",1999-04-14,23-220,1,78,0,France,23.0,1,0.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Lucas Hernández,DF,Bayern Munich,"Marseille, France",1996-02-14,26-279,1,12,0,France,26.0,1,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Theo Hernández,DF,Milan,"Marseille, France",1997-10-06,25-045,6,508,1,France,24.0,5,5.6,2,1,0,0,1,0,0.18,0.35,0.53,0.18,0.53,0.4,0.4,1.2,1.6,0.07,0.22,0.29,0.07,0.29
37,Randal Kolo Muani,FW,Eint Frankfurt,"Bondy, France",1998-12-05,23-350,3,182,1,France,23.0,1,2.0,0,1,0,0,0,0,0.49,0.0,0.49,0.49,0.49,1.1,1.1,0.0,1.1,0.66,0.0,0.66,0.66,0.66
38,Ibrahima Konaté,DF,Liverpool,"Paris, France",1999-05-25,23-179,5,294,0,France,23.0,3,3.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.7,0.12,0.12,0.24,0.12,0.24
39,Jules Koundé,DF,Barcelona,"Paris, France",1998-11-12,24-008,6,480,0,France,23.0,5,5.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.04,0.01,0.05,0.04,0.05
40,Hugo Lloris,GK,Tottenham,"Nice, France",1986-12-26,35-329,6,570,0,France,35.0,6,6.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Steve Mandanda,GK,Rennes,"Kinshasa, Congo DR",1985-03-28,37-237,1,90,0,France,37.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Kylian Mbappé,FW,Paris S-G,"Paris 19 Buttes-Chaumont, France",1998-12-20,23-335,7,598,8,France,23.0,6,6.6,2,6,2,2,0,0,1.2,0.3,1.51,0.9,1.2,5.2,3.6,1.3,5.0,0.82,0.21,1.04,0.58,0.79
43,Benjamin Pavard,DF,Bayern Munich,"Maubeuge, France",1996-03-28,26-237,1,88,0,France,26.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Adrien Rabiot,MF,Juventus,"Saint-Maurice, France",1995-04-03,27-231,6,483,1,France,27.0,5,5.4,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,1.0,1.0,0.9,1.9,0.19,0.16,0.36,0.19,0.36
45,William Saliba,DF,Arsenal,"Bondy, France",2001-03-24,21-241,1,28,0,France,21.0,0,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11
46,Aurélien Tchouaméni,MF,Real Madrid,"Rouen, France",2000-01-27,22-297,7,621,1,France,22.0,7,6.9,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,0.3,0.3,1.0,1.4,0.05,0.16,0.21,0.05,0.21
47,Marcus Thuram,"FW,MF",M'Gladbach,"Provincia di Parma, Italy",1997-08-06,25-106,5,151,0,France,24.0,0,1.7,2,0,0,0,1,0,0.0,1.19,1.19,0.0,1.19,0.2,0.2,0.3,0.5,0.16,0.19,0.35,0.16,0.35
48,Dayot Upamecano,DF,Bayern Munich,"Évreux, France",1998-10-27,24-024,5,480,0,France,23.0,5,5.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
49,Raphaël Varane,DF,Manchester Utd,"Lille, France",1993-04-25,29-209,6,518,0,France,29.0,6,5.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.06,0.0,0.06,0.06,0.06
50,Jordan Veretout,MF,Marseille,"Ancenis, France",1993-03-01,29-264,1,62,0,France,29.0,1,0.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Borna Barišić,DF,Rangers,"Grad Osijek, Croatia",1992-11-10,30-010,1,120,0,Croatia,29.0,1,1.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.12,0.14,0.02,0.14
52,Marcelo Brozović,MF,Inter,"Zagreb, Croatia",1992-11-16,30-004,6,552,0,Croatia,29.0,6,6.1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.09,0.03,0.12,0.09,0.12
53,Ante Budimir,FW,Osasuna,"Zenica, Bosnia and Herzegovina",1991-07-22,31-121,2,55,0,Croatia,30.0,0,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.37,0.07,0.44,0.37,0.44
54,Martin Erlic,DF,Sassuolo,"Zadar, Croatia",1998-01-24,24-300,0,0,0,Croatia,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Ivo Grbić,GK,Atlético Madrid,"Grad Split, Croatia",1996-01-18,26-306,0,0,0,Croatia,26.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Joško Gvardiol,DF,RB Leipzig,"Zagreb, Croatia",2002-01-23,20-301,7,690,1,Croatia,20.0,7,7.7,0,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,0.1,0.1,0.0,0.2,0.02,0.01,0.03,0.02,0.03
57,Ivica Ivušić,GK,Osijek,"Grad Rijeka, Croatia",1995-02-01,27-292,0,0,0,Croatia,27.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Kristijan Jakić,FW,Eint Frankfurt,"Grad Split, Croatia",1997-05-14,25-190,1,1,0,Croatia,25.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Josip Juranović,DF,Celtic,"Zagreb, Croatia",1995-08-16,27-096,6,600,0,Croatia,26.0,6,6.7,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.3,0.4,0.01,0.05,0.06,0.01,0.06
60,Mateo Kovačić,MF,Chelsea,"Linz, Austria",1994-05-06,28-198,7,635,0,Croatia,28.0,7,7.1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,0.05,0.14,0.18,0.05,0.18
61,Andrej Kramarić,"FW,MF",Hoffenheim,"Zagreb, Croatia",1991-06-19,31-154,7,474,2,Croatia,30.0,7,5.3,0,2,0,0,0,0,0.38,0.0,0.38,0.38,0.38,1.6,1.6,0.2,1.9,0.31,0.04,0.36,0.31,0.36
62,Marko Livaja,FW,Hajduk Split,"Grad Split, Croatia",1993-08-26,29-086,6,241,1,Croatia,28.0,3,2.7,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,0.8,0.8,0.1,0.9,0.31,0.03,0.34,0.31,0.34
63,Dominik Livaković,GK,Dinamo Zagreb,"Zadar, Croatia",1995-01-09,27-315,7,690,0,Croatia,27.0,7,7.7,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Dejan Lovren,DF,Zenit,"Zenica, Bosnia and Herzegovina",1989-07-05,33-138,6,600,0,Croatia,32.0,6,6.7,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,0.3,0.3,0.0,0.3,0.04,0.01,0.05,0.04,0.05
65,Lovro Majer,"MF,FW",Rennes,"Zagreb, Croatia",1998-01-17,24-307,7,130,1,Croatia,24.0,1,1.4,0,1,0,0,0,0,0.69,0.0,0.69,0.69,0.69,0.7,0.7,0.1,0.8,0.67,0.07,0.74,0.67,0.74
66,Luka Modrić,MF,Real Madrid,"Zadar, Croatia",1985-09-09,37-072,7,653,0,Croatia,36.0,7,7.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,0.06,0.11,0.16,0.06,0.16
67,Mislav Oršić,FW,Dinamo Zagreb,"Zagreb, Croatia",1992-12-29,29-326,6,162,1,Croatia,29.0,1,1.8,2,1,0,0,0,0,0.56,1.11,1.67,0.56,1.67,0.4,0.4,1.1,1.4,0.23,0.68,0.9,0.23,0.9
68,Mario Pašalić,"FW,MF",Atalanta,"Mainz, Germany",1995-02-09,27-284,7,271,0,Croatia,27.0,2,3.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17
69,Ivan Perišić,"FW,DF",Tottenham,"Grad Split, Croatia",1989-02-02,33-291,7,669,1,Croatia,33.0,7,7.4,3,1,0,0,0,0,0.13,0.4,0.54,0.13,0.54,0.9,0.9,0.9,1.8,0.13,0.12,0.25,0.13,0.25
70,Bruno Petković,FW,Dinamo Zagreb,"Metković, Croatia",1994-09-16,28-065,6,234,1,Croatia,27.0,1,2.6,0,1,0,0,1,0,0.38,0.0,0.38,0.38,0.38,0.1,0.1,0.3,0.5,0.05,0.15,0.2,0.05,0.2
71,Borna Sosa,DF,Stuttgart,"Zagreb, Croatia",1998-01-21,24-303,5,424,0,Croatia,24.0,5,4.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.01,0.08,0.09,0.01,0.09
72,Josip Stanišić,DF,Bayern Munich,"München, Germany",2000-04-02,22-232,1,90,0,Croatia,22.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
73,Luka Sučić,MF,RB Salzburg,"Linz, Austria",2002-09-08,20-073,0,0,0,Croatia,19.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Josip Šutalo,DF,Dinamo Zagreb,"Čapljina, Bosnia and Herzegovina",2000-02-28,22-265,1,90,0,Croatia,22.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Domagoj Vida,"DF,MF",AEK Athens,"Grad Osijek, Croatia",1989-04-29,33-205,0,0,0,Croatia,33.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Nikola Vlašić,"FW,MF",Torino,"Grad Split, Croatia",1997-10-04,25-047,6,209,0,Croatia,24.0,1,2.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.25,0.0,0.25,0.25,0.25
77,Zakaria Aboukhlal,"FW,MF",Toulouse,"Rotterdam, Netherlands",2000-02-18,22-275,4,79,1,Morocco,22.0,0,0.9,0,1,0,0,0,0,1.14,0.0,1.14,1.14,1.14,1.0,1.0,0.0,1.0,1.16,0.0,1.16,1.16,1.16
78,Nayef Aguerd,DF,West Ham,"Kenitra, Morocco",1996-03-30,26-235,4,353,0,Morocco,26.0,4,3.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.04,0.01,0.05,0.04,0.05
79,Selim Amallah,MF,Standard Liège,"Hautrage, Belgium",1996-11-15,26-005,7,409,0,Morocco,25.0,4,4.5,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07
80,Sofyan Amrabat,MF,Fiorentina,"Gemeente Huizen, Netherlands",1996-08-21,26-091,7,660,0,Morocco,25.0,7,7.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
81,Yahya Attiat Allah,DF,Wydad Casablanca,"Safi, Morocco",1995-03-02,27-263,6,318,0,Morocco,27.0,2,3.5,1,0,0,0,0,0,0.0,0.28,0.28,0.0,0.28,0.2,0.2,1.2,1.4,0.07,0.37,0.44,0.07,0.44
82,Badr Banoun,DF,Qatar SC,"Casablanca, Morocco",1993-09-30,29-051,3,54,0,Morocco,28.0,0,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Sofiane Boufal,FW,Angers,"Paris, France",1993-09-17,29-064,7,475,0,Morocco,28.0,7,5.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.05,0.06,0.11,0.05,0.11
84,Yassine Bounou,GK,Sevilla,"Montréal, QC, Canada",1991-04-05,31-229,6,570,0,Morocco,31.0,6,6.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Ilias Chair,MF,QPR,"Brugge, Belgium",1997-10-30,25-021,1,45,0,Morocco,24.0,0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Walid Cheddira,FW,Bari,"Loreto, Italy",1998-01-22,24-302,2,64,0,Morocco,24.0,0,0.7,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.24,0.0,1.24,1.24,1.24
87,Achraf Dari,DF,Brest,"Casablanca, Morocco",1999-05-06,23-198,3,187,1,Morocco,23.0,2,2.1,0,1,0,0,1,0,0.48,0.0,0.48,0.48,0.48,0.6,0.6,0.0,0.6,0.3,0.0,0.3,0.3,0.3
88,Youssef En-Nesyri,FW,Sevilla,"Fes-Medina, Morocco",1997-06-01,25-172,7,542,2,Morocco,25.0,7,6.0,0,2,0,0,0,0,0.33,0.0,0.33,0.33,0.33,1.2,1.2,0.0,1.3,0.21,0.01,0.21,0.21,0.21
89,Abdessamad Ezzalzouli,"FW,MF",Osasuna,"Beni Mellal, Morocco",2001-12-17,20-338,3,93,0,Morocco,20.0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.09,0.39,0.49,0.09,0.49
90,Achraf Hakimi,DF,Paris S-G,"Getafe, Spain",1998-11-04,24-016,7,631,0,Morocco,23.0,7,7.0,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,0.5,0.6,0.02,0.07,0.09,0.02,0.09
91,Abderrazak Hamdallah,FW,Al-Ittihad,"Safi, Morocco",1990-12-17,31-338,4,68,0,Morocco,31.0,0,0.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.52,0.0,0.52,0.52,0.52
92,Yahya Jabrane,MF,Wydad Casablanca,"Settat, Morocco",1991-06-18,31-155,2,15,0,Morocco,30.0,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Bilal El Khannous,MF,Genk,"Strombeek-Bever, Belgium",2004-05-10,18-194,1,55,0,Morocco,18.0,1,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Noussair Mazraoui,DF,Bayern Munich,"Leiderdorp, Netherlands",1997-11-14,25-006,5,365,0,Morocco,24.0,5,4.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.04,0.01,0.04,0.04,0.04
95,Munir,GK,Al-Wehda,Spain,1989-05-10,33-194,1,90,0,Morocco,33.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Azzedine Ounahi,MF,Angers,"Casablanca, Morocco",2000-04-19,22-215,7,568,0,Morocco,22.0,6,6.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13
97,Ahmed Reda Tagnaouti,GK,Wydad Casablanca,"Casablanca, Morocco",1996-04-05,26-229,0,0,0,Morocco,26.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Abdelhamid Sabiri,MF,Sampdoria,"Goulmima, Morocco",1996-11-28,25-357,5,181,0,Morocco,25.0,2,2.0,1,0,0,0,1,0,0.0,0.5,0.5,0.0,0.5,0.1,0.1,0.9,1.0,0.08,0.53,0.6,0.08,0.6
99,Romain Saïss,DF,Beşiktaş,"Bourg-de-Péage, France",1990-03-26,32-239,6,466,1,Morocco,32.0,6,5.2,0,1,0,0,1,0,0.19,0.0,0.19,0.19,0.19,0.8,0.8,0.0,0.8,0.16,0.0,0.16,0.16,0.16
100,Jawad El Yamiq,DF,Valladolid,"Khouribga, Morocco",1992-02-29,30-264,6,309,0,Morocco,30.0,3,3.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03
101,Anass Zaroury,FW,Burnley,"Mechelen, Belgium",2000-11-07,22-013,1,27,0,Morocco,21.0,0,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Hakim Ziyech,FW,Chelsea,"Gemeente Dronten, Netherlands",1993-03-19,29-246,7,635,1,Morocco,29.0,7,7.1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,0.7,1.1,0.06,0.1,0.16,0.06,0.16
