,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
21,2.0,Josip Stanišić,DF,1.de Bayern Munich,"München, Germany",2000-04-02,22-232,1.0,90.0,0.0
22,25.0,Luka Sučić,MF,1.at RB Salzburg,"Linz, Austria",2002-09-08,20-073,0.0,,
23,24.0,Josip Šutalo,DF,1.hr Dinamo Zagreb,"Čapljina, Bosnia and Herzegovina",2000-02-28,22-265,1.0,90.0,0.0
24,21.0,Domagoj Vida,"DF,MF",1.gr AEK Athens,"Grad Osijek, Croatia",1989-04-29,33-205,0.0,,
25,13.0,Nikola Vlašić,"FW,MF",1.it Torino,"Grad Split, Croatia",1997-10-04,25-047,6.0,209.0,0.0
0,14.0,Zakaria Aboukhlal,"FW,MF",1.fr Toulouse,"Rotterdam, Netherlands",2000-02-18,22-275,4.0,79.0,1.0
1,5.0,Nayef Aguerd,DF,1.eng West Ham,"Kenitra, Morocco",1996-03-30,26-235,4.0,353.0,0.0
2,15.0,Selim Amallah,MF,1.be Standard Liège,"Hautrage, Belgium",1996-11-15,26-005,7.0,409.0,0.0
3,4.0,Sofyan Amrabat,MF,1.it Fiorentina,"Gemeente Huizen, Netherlands",1996-08-21,26-091,7.0,660.0,0.0
4,25.0,Yahya Attiat Allah,DF,1.ma Wydad Casablanca,"Safi, Morocco",1995-03-02,27-263,6.0,318.0,0.0
5,24.0,Badr Banoun,DF,1.qa Qatar SC,"Casablanca, Morocco",1993-09-30,29-051,3.0,54.0,0.0
6,17.0,Sofiane Boufal,FW,1.fr Angers,"Paris, France",1993-09-17,29-064,7.0,475.0,0.0
7,1.0,Yassine Bounou,GK,1.es Sevilla,"Montréal, QC, Canada",1991-04-05,31-229,6.0,570.0,0.0
8,13.0,Ilias Chair,MF,2.eng QPR,"Brugge, Belgium",1997-10-30,25-021,1.0,45.0,0.0
9,21.0,Walid Cheddira,FW,2.it Bari,"Loreto, Italy",1998-01-22,24-302,2.0,64.0,0.0
10,20.0,Achraf Dari,DF,1.fr Brest,"Casablanca, Morocco",1999-05-06,23-198,3.0,187.0,1.0
11,19.0,Youssef En-Nesyri,FW,1.es Sevilla,"Fes-Medina, Morocco",1997-06-01,25-172,7.0,542.0,2.0
12,16.0,Abdessamad Ezzalzouli,"FW,MF",1.es Osasuna,"Beni Mellal, Morocco",2001-12-17,20-338,3.0,93.0,0.0
13,2.0,Achraf Hakimi,DF,1.fr Paris S-G,"Getafe, Spain",1998-11-04,24-016,7.0,631.0,0.0
14,9.0,Abderrazak Hamdallah,FW,1.sa Al-Ittihad,"Safi, Morocco",1990-12-17,31-338,4.0,68.0,0.0
15,26.0,Yahya Jabrane,MF,1.ma Wydad Casablanca,"Settat, Morocco",1991-06-18,31-155,2.0,15.0,0.0
16,23.0,Bilal El Khannous,MF,1.be Genk,"Strombeek-Bever, Belgium",2004-05-10,18-194,1.0,55.0,0.0
17,3.0,Noussair Mazraoui,DF,1.de Bayern Munich,"Leiderdorp, Netherlands",1997-11-14,25-006,5.0,365.0,0.0
18,12.0,Munir,GK,1.sa Al-Wehda,Spain,1989-05-10,33-194,1.0,90.0,0.0
19,8.0,Azzedine Ounahi,MF,1.fr Angers,"Casablanca, Morocco",2000-04-19,22-215,7.0,568.0,0.0
20,22.0,Ahmed Reda Tagnaouti,GK,1.ma Wydad Casablanca,"Casablanca, Morocco",1996-04-05,26-229,0.0,,
21,11.0,Abdelhamid Sabiri,MF,1.it Sampdoria,"Goulmima, Morocco",1996-11-28,25-357,5.0,181.0,0.0
22,6.0,Romain Saïss,DF,1.tr Beşiktaş,"Bourg-de-Péage, France",1990-03-26,32-239,6.0,466.0,1.0
23,18.0,Jawad El Yamiq,DF,1.es Valladolid,"Khouribga, Morocco",1992-02-29,30-264,6.0,309.0,0.0
24,10.0,Anass Zaroury,FW,2.eng Burnley,"Mechelen, Belgium",2000-11-07,22-013,1.0,27.0,0.0
25,7.0,Hakim Ziyech,FW,1.eng Chelsea,"Gemeente Dronten, Netherlands",1993-03-19,29-246,7.0,635.0,1.0
0,5.0,Nathan Aké,DF,1.eng Manchester City,"The Hague, Netherlands",1995-02-18,27-275,5.0,479.0,0.0
1,11.0,Steven Berghuis,MF,1.nl Ajax,"Apeldoorn, Netherlands",1991-12-19,30-336,4.0,200.0,0.0
2,7.0,Steven Bergwijn,FW,1.nl Ajax,"Amsterdam, Netherlands",1997-10-08,25-043,4.0,213.0,0.0
3,13.0,Justin Bijlow,GK,1.nl Feyenoord,"Rotterdam, Netherlands",1998-01-22,24-302,0.0,,
4,17.0,Daley Blind,DF,1.nl Ajax,"Amsterdam, Netherlands",1990-03-09,32-256,5.0,423.0,1.0
5,22.0,Denzel Dumfries,DF,1.it Inter,"Rotterdam, Netherlands",1996-04-18,26-216,5.0,479.0,1.0
6,26.0,Jeremie Frimpong,"DF,MF",1.de Leverkusen,"Amsterdam, Netherlands",2000-12-10,21-345,0.0,,
7,8.0,Cody Gakpo,"FW,MF",1.nl PSV Eindhoven,"Gemeente Eindhoven, Netherlands",1999-05-07,23-197,5.0,450.0,3.0
8,18.0,Vincent Janssen,FW,1.be Antwerp,"Heesch, Netherlands",1994-06-15,28-158,2.0,86.0,0.0
9,21.0,Frenkie de Jong,MF,1.es Barcelona,"Arkel, Netherlands",1997-05-12,25-192,5.0,475.0,1.0
10,9.0,Luuk de Jong,FW,1.nl PSV Eindhoven,"Aigle, Switzerland",1990-08-27,32-085,1.0,57.0,0.0
11,14.0,Davy Klaassen,"MF,FW",1.nl Ajax,"Gemeente Hilversum, Netherlands",1993-02-21,29-272,4.0,190.0,1.0
12,20.0,Teun Koopmeiners,MF,1.it Atalanta,"Gemeente Castricum, Netherlands",1998-02-28,24-265,5.0,219.0,0.0
13,12.0,Noa Lang,MF,1.be Club Brugge,"Capelle aan den IJssel, Netherlands",1999-06-17,23-156,1.0,8.0,0.0
14,3.0,Matthijs de Ligt,DF,1.de Bayern Munich,"Leiderdorp, Netherlands",1999-08-12,23-100,2.0,91.0,0.0
15,16.0,Tyrell Malacia,DF,1.eng Manchester Utd,"Rotterdam, Netherlands",1999-08-17,23-095,0.0,,
16,10.0,Memphis,FW,1.es Barcelona,"Moordrecht, Netherlands",1994-02-13,28-280,5.0,297.0,1.0
17,23.0,Andries Noppert,GK,1.nl Heerenveen,"Gemeente Heerenveen, Netherlands",1994-04-07,28-227,5.0,480.0,0.0
18,1.0,Remko Pasveer,GK,1.nl Ajax,"Gemeente Enschede, Netherlands",1983-11-08,39-012,0.0,,
19,15.0,Marten de Roon,MF,1.it Atalanta,"Zwijndrecht, Netherlands",1991-03-29,31-236,5.0,184.0,0.0
20,25.0,Xavi Simons,"FW,MF",1.nl PSV Eindhoven,"Amsterdam, Netherlands",2003-04-21,19-213,1.0,9.0,0.0
21,24.0,Kenneth Taylor,MF,1.nl Ajax,"Alkmaar, Netherlands",2002-05-16,20-188,1.0,5.0,0.0
22,2.0,Jurriën Timber,DF,1.nl Ajax,"Utrecht, Netherlands",2001-06-17,21-156,4.0,390.0,0.0
23,4.0,Virgil van Dijk,DF,1.eng Liverpool,"Breda, Netherlands",1991-07-08,31-135,5.0,480.0,0.0
24,6.0,Stefan de Vrij,DF,1.it Inter,"Ouderkerk aan den IJssel, Netherlands",1992-02-05,30-288,0.0,,
25,19.0,Wout Weghorst,FW,1.tr Beşiktaş,"Gemeente Borne, Netherlands",1992-08-07,30-105,4.0,64.0,2.0
0,18.0,Trent Alexander-Arnold,DF,1.eng Liverpool,"Liverpool, England, United Kingdom",1998-10-07,24-044,1.0,34.0,0.0
1,22.0,Jude Bellingham,MF,1.de Dortmund,"Stourbridge, England, United Kingdom",2003-06-29,19-144,5.0,414.0,1.0
2,16.0,Conor Coady,"DF,MF",1.eng Everton,"Liverpool, England, United Kingdom",1993-02-25,29-268,0.0,,
3,15.0,Eric Dier,DF,1.eng Tottenham,"Cheltenham, England, United Kingdom",1994-01-15,28-309,2.0,36.0,0.0
4,20.0,Phil Foden,"FW,MF",1.eng Manchester City,"Stockport, England, United Kingdom",2000-05-28,22-176,4.0,258.0,1.0
5,26.0,Conor Gallagher,MF,1.eng Chelsea,"Epsom, England, United Kingdom",2000-02-06,22-287,0.0,,
6,7.0,Jack Grealish,FW,1.eng Manchester City,"Birmingham, England, United Kingdom",1995-09-10,27-071,5.0,86.0,1.0
7,8.0,Jordan Henderson,MF,1.eng Liverpool,"Sunderland, England, United Kingdom",1990-06-17,32-156,4.0,271.0,1.0
8,9.0,Harry Kane,FW,1.eng Tottenham,"Walthamstow, England, United Kingdom",1993-07-28,29-115,5.0,402.0,2.0
9,25.0,James Maddison,"FW,MF",1.eng Leicester City,"Coventry, England, United Kingdom",1996-11-23,25-362,0.0,,
10,6.0,Harry Maguire,DF,1.eng Manchester Utd,"Sheffield, England, United Kingdom",1993-03-05,29-260,5.0,429.0,0.0
11,19.0,Mason Mount,MF,1.eng Chelsea,"Portsmouth, England, United Kingdom",1999-01-10,23-314,4.0,186.0,0.0
12,14.0,Kalvin Phillips,MF,1.eng Manchester City,"Leeds, England, United Kingdom",1995-12-02,26-353,2.0,42.0,0.0
13,1.0,Jordan Pickford,GK,1.eng Everton,"Washington, England, United Kingdom",1994-03-07,28-258,5.0,450.0,0.0
14,13.0,Nick Pope,GK,1.eng Newcastle Utd,"Soham, England, United Kingdom",1992-04-19,30-215,0.0,,
15,23.0,Aaron Ramsdale,GK,1.eng Arsenal,"Staffordshire, England, United Kingdom",1998-05-14,24-190,0.0,,
16,11.0,Marcus Rashford,FW,1.eng Manchester Utd,"Wythenshawe, England, United Kingdom",1997-10-31,25-020,5.0,140.0,3.0
17,4.0,Declan Rice,MF,1.eng West Ham,"London, England, United Kingdom",1999-01-14,23-310,5.0,417.0,0.0
18,17.0,Bukayo Saka,FW,1.eng Arsenal,"Ealing, England, United Kingdom",2001-09-05,21-076,4.0,288.0,3.0
19,3.0,Luke Shaw,DF,1.eng Manchester Utd,"Kingston upon Thames, England, United Kingdom",1995-07-12,27-131,5.0,424.0,0.0
20,10.0,Raheem Sterling,FW,1.eng Chelsea,"Kingston, Jamaica",1994-12-08,27-347,3.0,149.0,1.0
21,5.0,John Stones,DF,1.eng Manchester City,"Barnsley, England, United Kingdom",1994-05-28,28-176,5.0,434.0,0.0
22,12.0,Kieran Trippier,DF,1.eng Newcastle Utd,"Bury, England, United Kingdom",1990-09-19,32-062,3.0,206.0,0.0
23,2.0,Kyle Walker,DF,1.eng Manchester City,"Sheffield, England, United Kingdom",1990-05-28,32-176,3.0,236.0,0.0
24,21.0,Ben White,DF,1.eng Arsenal,"Poole, England, United Kingdom",1997-10-08,25-043,0.0,,
25,24.0,Callum Wilson,FW,1.eng Newcastle Utd,"Coventry, England, United Kingdom",1992-02-27,30-266,2.0,48.0,0.0
0,1.0,Alisson,GK,1.eng Liverpool,"Novo Hamburgo, Brazil",1992-10-02,30-049,4.0,379.0,0.0
1,13.0,Dani Alves,DF,1.mx UNAM,"Juazeiro, Brazil",1983-05-06,39-198,2.0,118.0,0.0
2,19.0,Antony,FW,1.eng Manchester Utd,"São Paulo, Brazil",2000-02-24,22-269,4.0,172.0,0.0
3,24.0,Gleison Bremer,DF,1.it Juventus,"Itapiranga, Brazil",1997-03-18,25-247,2.0,109.0,0.0
4,5.0,Casemiro,MF,1.eng Manchester Utd,"São José dos Campos, Brazil",1992-02-23,30-270,4.0,390.0,1.0
5,2.0,Danilo,DF,1.it Juventus,"Bicas, Brazil",1991-07-15,31-128,3.0,281.0,0.0
6,23.0,Ederson,GK,1.eng Manchester City,"Osasco, Brazil",1993-08-17,29-095,1.0,90.0,0.0
7,15.0,Fabinho,MF,1.eng Liverpool,"Campinas, Brazil",1993-10-23,29-028,1.0,90.0,0.0
8,8.0,Fred,MF,1.eng Manchester Utd,"Belo Horizonte, Brazil",1993-03-05,29-260,4.0,142.0,0.0
9,17.0,Bruno Guimarães,MF,1.eng Newcastle Utd,"Rio de Janeiro, Brazil",1997-11-16,25-004,2.0,69.0,0.0
10,18.0,Gabriel Jesus,FW,1.eng Arsenal,"São Paulo, Brazil",1997-04-03,25-231,3.0,93.0,0.0
11,20.0,Vinicius Júnior,FW,1.es Real Madrid,"São Gonçalo, Brazil",2000-07-12,22-131,4.0,299.0,1.0
12,4.0,Marquinhos,DF,1.fr Paris S-G,"São Paulo, Brazil",1994-05-14,28-190,5.0,426.0,0.0
13,26.0,Martinelli,FW,1.eng Arsenal,"Guarulhos, Brazil",2001-06-18,21-155,3.0,113.0,0.0
14,14.0,Éder Militão,DF,1.es Real Madrid,"Sertãozinho, Brazil",1998-01-18,24-306,4.0,347.0,0.0
15,10.0,Neymar,MF,1.fr Paris S-G,"Mogi das Cruzes, Brazil",1992-02-05,30-288,3.0,279.0,2.0
16,7.0,Lucas Paquetá,MF,1.eng West Ham,"Rio de Janeiro, Brazil",1997-08-27,25-085,4.0,314.0,1.0
17,25.0,Pedro,FW,1.br Flamengo,"Rio de Janeiro, Brazil",1997-06-20,25-153,2.0,64.0,0.0
18,11.0,Raphinha,FW,1.es Barcelona,"Porto Alegre, Brazil",1996-12-14,25-341,5.0,315.0,0.0
19,22.0,Everton Ribeiro,MF,1.br Flamengo,"Arujá, Brazil",1989-04-10,33-224,1.0,36.0,0.0
20,9.0,Richarlison,FW,1.eng Tottenham,"Nova Venécia, Brazil",1997-05-10,25-194,4.0,323.0,3.0
21,21.0,Rodrygo,"MF,FW",1.es Real Madrid,"Osasco, Brazil",2001-01-09,21-315,5.0,181.0,0.0
22,6.0,Alex Sandro,DF,1.it Juventus,"Catanduva, Brazil",1991-01-26,31-298,3.0,190.0,0.0
23,3.0,Thiago Silva,DF,1.eng Chelsea,"Rio de Janeiro, Brazil",1984-09-22,38-059,4.0,390.0,0.0
24,16.0,Alex Telles,DF,1.es Sevilla,"Caxias do Sul, Brazil",1992-12-15,29-340,2.0,59.0,0.0
25,12.0,Wéverton,GK,1.br Palmeiras,"Rio Branco, Brazil",1987-12-13,34-342,1.0,11.0,0.0
0,20.0,João Cancelo,DF,1.eng Manchester City,"Barreiro, Portugal",1994-05-27,28-177,4.0,310.0,0.0
1,14.0,William Carvalho,MF,1.es Betis,"Luanda, Angola",1992-04-07,30-227,4.0,215.0,0.0
2,22.0,Diogo Costa,GK,1.pt Porto,"Rothrist, Switzerland",1999-09-19,23-062,5.0,450.0,0.0
3,2.0,Diogo Dalot,DF,1.eng Manchester Utd,"Braga, Portugal",1999-03-18,23-247,3.0,258.0,0.0
4,4.0,Rúben Dias,DF,1.eng Manchester City,"Amadora, Portugal",1997-05-14,25-190,4.0,360.0,0.0
5,11.0,João Félix,FW,1.es Atlético Madrid,"Viseu, Portugal",1999-11-10,23-010,4.0,331.0,1.0
6,8.0,Bruno Fernandes,"FW,MF",1.eng Manchester Utd,"Maia, Portugal",1994-09-08,28-073,4.0,356.0,2.0
7,5.0,Raphaël Guerreiro,DF,1.de Dortmund,"Le Blanc-Mesnil, France",1993-12-22,28-333,4.0,279.0,1.0
8,21.0,Ricardo Horta,FW,1.pt Braga,"Sobreda, Portugal",1994-09-15,28-066,3.0,119.0,1.0
9,15.0,Rafael Leão,FW,1.it Milan,"Almada, Portugal",1999-06-10,23-163,5.0,88.0,2.0
10,17.0,João Mário,"FW,MF",1.pt Benfica,"Porto, Portugal",1993-01-19,29-305,2.0,84.0,0.0
11,,Nuno Mendes,DF,1.fr Paris S-G,"Sintra, Portugal",2002-06-19,20-154,1.0,41.0,0.0
12,18.0,Rúben Neves,MF,1.eng Wolves,"Mozelos, Portugal",1997-03-13,25-252,5.0,268.0,0.0
13,23.0,Matheus Nunes,MF,1.eng Wolves,"Rio de Janeiro, Brazil",1998-08-27,24-085,2.0,73.0,0.0
14,25.0,Otávio,MF,1.pt Porto,"João Pessoa, Brazil",1995-02-09,27-284,3.0,196.0,0.0
15,6.0,João Palhinha,MF,1.eng Fulham,"Lisbon, Portugal",1995-07-09,27-134,3.0,38.0,0.0
16,1.0,Rui Patrício,GK,1.it Roma,"Marrazes, Portugal",1988-02-15,34-278,0.0,,
17,3.0,Pepe,DF,1.pt Porto,"Maceió, Brazil",1983-02-26,39-267,4.0,360.0,1.0
18,13.0,Danilo Pereira,DF,1.fr Paris S-G,"Bissau, Guinea-Bissau",1991-09-09,31-072,1.0,90.0,0.0
19,26.0,Gonçalo Ramos,"FW,MF",1.pt Benfica,"Olhão, Portugal",2001-06-20,21-153,4.0,152.0,3.0
20,7.0,Cristiano Ronaldo,FW,1.eng Manchester Utd,"Funchal, Portugal",1985-02-05,37-288,5.0,290.0,1.0
21,12.0,José Sá,GK,1.eng Wolves,"Braga, Portugal",1993-01-17,29-307,0.0,,
22,9.0,André Silva,FW,1.de RB Leipzig,"Baguim do Monte, Portugal",1995-11-06,27-014,1.0,26.0,0.0
23,24.0,António Silva,DF,1.pt Benfica,"Portugal, Portugal",2003-10-30,19-021,1.0,90.0,0.0
24,10.0,Bernardo Silva,MF,1.eng Manchester City,"Lisbon, Portugal",1994-08-10,28-102,5.0,356.0,0.0
25,16.0,Vitinha,MF,1.fr Paris S-G,"Portugal, Portugal",2000-02-13,22-280,3.0,120.0,0.0
0,18.0,Takuma Asano,FW,1.de Bochum,"Komono, Japan",1994-11-10,28-010,4.0,165.0,1.0
1,8.0,Ritsu Doan,FW,1.de Freiburg,"Amagasaki Shi, Japan",1998-06-16,24-157,4.0,217.0,2.0
2,6.0,Wataru Endo,MF,1.de Stuttgart,"Yokohama Shi, Japan",1993-02-09,29-284,4.0,304.0,0.0
3,12.0,Shūichi Gonda,GK,1.jp S-Pulse,"Setagaya-ku, Japan",1989-03-03,33-262,4.0,390.0,0.0
4,4.0,Ko Itakura,DF,1.de M'Gladbach,"Yokohama Shi, Japan",1997-01-27,25-297,3.0,270.0,0.0
5,26.0,Hiroki Ito,DF,1.de Stuttgart,"Hamamatsu-shi, Japan",1999-05-12,23-192,1.0,45.0,0.0
6,14.0,Junya Ito,"MF,FW",1.fr Reims,"Yokosuka, Japan",1993-03-09,29-256,4.0,324.0,0.0
7,15.0,Daichi Kamada,"FW,MF",1.de Eint Frankfurt,Japan,1996-08-05,26-107,4.0,322.0,0.0
8,1.0,Eiji Kawashima,GK,1.fr Strasbourg,"Yono, Japan",1983-03-20,39-245,0.0,,
9,11.0,Takefusa Kubo,FW,1.es Real Sociedad,"Kawasaki-shi, Japan",2001-06-04,21-169,2.0,90.0,0.0
10,20.0,Shuto Machino,FW,1.jp Shonan Bellmare,"Iga-shi, Japan",1999-09-30,23-051,0.0,,
11,25.0,Daizen Maeda,FW,1.sct Celtic,Japan,1997-10-20,25-031,3.0,180.0,1.0
